"Part";"Value";"Device";"Package";"Description";"";
"B1";"MB1S";"MB1S";"SOIC-4";"Bridge Rectifier";"";
"C1";"10uF";"CAPACITOR";"CAPACITOR";"";"";
"C2";"22uF";"CAPACITOR";"CAPACITOR";"";"";
"CHANNEL";"SWS004";"SWS004";"SMS-004";"SMD Dip Switch 4 pol.";"";
"CONVERTER";"VX7805-500";"VX7805-500";"VX7805500";"Non-Isolated DC/DC Converters 6.5-36Vin 5Vout 0.5A 2.5W SIP non-Iso";"";
"D1";"BAT43";"DIODE";"DIODE";"";"";
"D2";"BAT43";"DIODE";"DIODE";"";"";
"D3";"BAT43";"DIODE";"DIODE";"";"";
"D4";"BAT43";"DIODE";"DIODE";"";"";
"D5";"1N4148";"DIODE";"DIODE";"";"";
"IC1";"CD74HCT4051E";"CD74HCT4051E";"DIP794W53P254L1930H508Q16N";"High Speed CMOS 8-Channel Analog Multiplexer/Demultiplexer with TTL inputs";"";
"IC1-B";"74HCT4051PW";"74HCT4051PW";"SOP65P640X110-16N";"Nexperia 74HCT4051PW, Multiplexer/Demultiplexer Single 8:1, 5 V, 16-Pin TSSOP";"";
"IC2";"SN74HC595NG4";"SN74HC595NG4";"DIP794W53P254L1930H508Q16N";"IC SHIFT REGISTER 8BIT 16-DIP";"";
"IC2-B";"CD74HC595SM96";"CD74HC595SM96";"SOP65P780X200-16N";"8-Bit Shift Registers With 3-State Output Registers";"";
"IC3";"CD74HCT4051E";"CD74HCT4051E";"DIP794W53P254L1930H508Q16N";"High Speed CMOS 8-Channel Analog Multiplexer/Demultiplexer with TTL inputs";"";
"IC3-B";"74HCT4051PW";"74HCT4051PW";"SOP65P640X110-16N";"Nexperia 74HCT4051PW, Multiplexer/Demultiplexer Single 8:1, 5 V, 16-Pin TSSOP";"";
"IC4";"SN74HC595NG4";"SN74HC595NG4";"DIP794W53P254L1930H508Q16N";"IC SHIFT REGISTER 8BIT 16-DIP";"";
"IC4-B";"CD74HC595SM96";"CD74HC595SM96";"SOP65P780X200-16N";"8-Bit Shift Registers With 3-State Output Registers";"";
"IC5";"MCP6292";"TL072P";"DIL08";"OP AMP";"";
"IC5-B";"MCP6292";"TL072D";"SO08";"OP AMP";"";
"IC6";"MCP6292";"TL072P";"DIL08";"OP AMP";"";
"IC6-B";"MCP6292";"TL072D";"SO08";"OP AMP";"";
"JP1";"";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP2";"";"PINHD-2X8";"2X08";"PIN HEADER";"";
"JP4";"";"PINHD-1X24_2.54-S";"1X24-S";"PIN HEADER";"";
"JP5";"";"PINHD-1X24_2.54-S";"1X24-S";"PIN HEADER";"";
"OPTOCOUPLER";"6N137S";"6N137S";"8-SMD";"Lite-On 6N137 - High Speed Opto Isolator";"";
"POWER";"";"PINHD-2X5";"2X05";"PIN HEADER";"";
"R1";"10k";"RESISTOR";"RESISTOR";"";"";
"R2";"2.7k";"RESISTOR";"RESISTOR";"";"";
"R3";"10k";"RESISTOR";"RESISTOR";"";"";
"R4";"1k";"RESISTOR";"RESISTOR";"";"";
"R5";"157";"RESISTOR";"RESISTOR";"";"";
"R6";"2k";"RESISTOR";"RESISTOR";"";"";
"R7";"8k";"RESISTOR";"RESISTOR";"";"";
"R8";"4k";"RESISTOR";"RESISTOR";"";"";
"R9";"2k";"RESISTOR";"RESISTOR";"";"";
"R10";"1k";"RESISTOR";"RESISTOR";"";"";
"R11";"2k";"RESISTOR";"RESISTOR";"";"";
"R12";"2k";"RESISTOR";"RESISTOR";"";"";
"R13";"";"TRIM_EU-S64W";"S64W";"POTENTIOMETER";"";
"R14";"10k";"RESISTOR";"RESISTOR";"";"";
"R15";"2.7k";"RESISTOR";"RESISTOR";"";"";
"R16";"1k";"RESISTOR";"RESISTOR";"";"";
"R17";"10k";"RESISTOR";"RESISTOR";"";"";
"R18";"";"TRIM_EU-S64W";"S64W";"POTENTIOMETER";"";
"U$1";"TEENSY_4.0_CUSTOM";"TEENSY_4.0_CUSTOM";"TEENSY_4.0_CUSTOM";"";"";
